다가, 95, 143
아나, 67, 197
자자, 45, 158
바타, 59, 184
차사, 62, 162
바카, 74, 193
사사, 75, 145
타사, 52, 170
나하, 99, 173
자자, 52, 162
차마, 98, 143
차다, 69, 180
카차, 91, 153
파바, 62, 156
가차, 91, 170
라나, 79, 193
카파, 78, 180
사카, 71, 169
바가, 47, 149
자바, 58, 159
사차, 72, 141
하다, 54, 180
타마, 47, 155
바바, 61, 161
파차, 77, 198
카타, 83, 194
하다, 79, 171
카나, 64, 183
마사, 98, 181
사타, 64, 190
자사, 47, 167
바가, 70, 149
사가, 77, 197
차사, 82, 157
사타, 74, 190
사카, 43, 188
나사, 73, 199
사아, 82, 149
타카, 82, 188
하나, 50, 191
사아, 60, 166
사다, 61, 188
마카, 88, 187
차나, 79, 176
가사, 77, 171
바파, 94, 145
자파, 49, 153
마카, 92, 197
타카, 79, 199
파파, 98, 160
바아, 99, 177
카바, 53, 162
하마, 89, 142
카나, 85, 177
마다, 96, 171
카나, 84, 154
마다, 74, 183
타타, 83, 174
하바, 76, 168
타차, 66, 167
하마, 96, 175
바타, 43, 194
카타, 84, 170
가타, 55, 174
하마, 92, 193
사파, 87, 189
파아, 56, 196
바파, 97, 158
라나, 59, 164
사차, 52, 175
사차, 53, 158
라사, 50, 154
마파, 66, 167
카자, 49, 179
나자, 94, 190
자아, 94, 175
하카, 49, 143
라하, 75, 156
다차, 81, 173
아라, 49, 150
라아, 83, 193
타카, 76, 146
바자, 88, 192
다가, 47, 152
차다, 84, 162
카사, 52, 172
자바, 43, 195
하아, 40, 174
아바, 74, 185
타카, 75, 197
마나, 53, 184
바타, 86, 148
차하, 70, 189
차가, 43, 160
자카, 56, 180
카사, 86, 172
카하, 74, 172
다바, 94, 195
다가, 69, 171
가가, 89, 171
파바, 90, 177
자자, 43, 164
가나, 82, 194
바차, 78, 158
차다, 88, 170
마타, 43, 191
사라, 66, 141
바마, 62, 160
다다, 66, 145
나가, 41, 199
라나, 54, 175
바사, 97, 176
파사, 64, 195
가카, 57, 179
차나, 69, 191
타타, 86, 179
아하, 66, 163
하아, 91, 191
하파, 81, 199
아카, 42, 188
하하, 54, 161
바나, 56, 161
하파, 66, 161
바타, 75, 166
사카, 93, 197
마하, 87, 184
카하, 68, 160
바자, 97, 184
아차, 82, 160
가아, 90, 193
라아, 47, 194
차라, 70, 194
타카, 51, 187
라라, 72, 147
가타, 87, 180
다다, 76, 152
나나, 69, 162
마가, 55, 173
다가, 66, 187
하카, 89, 195
마하, 60, 162
나자, 65, 145
타마, 90, 159
가타, 47, 157
